event_id,name,branch,date,attendance,feedback_score
EVT0103,Teen Gaming Night,Stratford,2025-08-24,"{'registered': 43, 'actual': 45, 'age_breakdown': {'0-5': 1, '6-12': 14, '13-17': 2, '18+': 12}}",3.3
EVT0104,Computer Skills Workshop,Custom House,2025-09-18,"{'registered': 21, 'actual': 23, 'age_breakdown': {'0-5': 4, '6-12': 10, '13-17': 0, '18+': 0}}",4.0
EVT0106,Computer Skills Workshop,Custom House,2025-09-06,"{'registered': 10, 'actual': 32, 'age_breakdown': {'0-5': 9, '6-12': 3, '13-17': 9, '18+': 12}}",3.3
EVT0107,Computer Skills Workshop,Plaistow,2025-04-21,"{'registered': 35, 'actual': 13, 'age_breakdown': {'0-5': 0, '6-12': 1, '13-17': 8, '18+': 4}}",3.5
EVT0108,Children's Story Hour,Plaistow,2025-08-24,"{'registered': 13, 'actual': 45, 'age_breakdown': {'0-5': 2, '6-12': 13, '13-17': 3, '18+': 8}}",3.4
EVT0109,Teen Gaming Night,Plaistow,2025-01-07,"{'registered': 50, 'actual': 16, 'age_breakdown': {'0-5': 10, '6-12': 8, '13-17': 5, '18+': 16}}",4.8
EVT0110,Children's Story Hour,Stratford,2025-03-20,"{'registered': 21, 'actual': 5, 'age_breakdown': {'0-5': 4, '6-12': 4, '13-17': 4, '18+': 5}}",3.7
EVT0111,Computer Skills Workshop,Custom House,2025-04-13,"{'registered': 11, 'actual': 42, 'age_breakdown': {'0-5': 1, '6-12': 4, '13-17': 3, '18+': 14}}",3.0
EVT0112,Teen Gaming Night,Manor Park,2025-05-05,"{'registered': 46, 'actual': 33, 'age_breakdown': {'0-5': 6, '6-12': 1, '13-17': 3, '18+': 19}}",4.5
EVT0114,Author Talk,East Ham,2025-06-12,"{'registered': 37, 'actual': 21, 'age_breakdown': {'0-5': 8, '6-12': 2, '13-17': 8, '18+': 14}}",4.6
EVT0115,Author Talk,North Woolwich,2024-10-30,"{'registered': 11, 'actual': 20, 'age_breakdown': {'0-5': 6, '6-12': 8, '13-17': 8, '18+': 17}}",3.7
EVT0116,Homework Help Session,Custom House,2024-12-25,"{'registered': 38, 'actual': 36, 'age_breakdown': {'0-5': 3, '6-12': 11, '13-17': 4, '18+': 12}}",5.0
EVT0117,Book Club Meeting,East Ham,2025-08-06,"{'registered': 37, 'actual': 7, 'age_breakdown': {'0-5': 6, '6-12': 12, '13-17': 7, '18+': 19}}",4.9
EVT0118,Computer Skills Workshop,Manor Park,2024-12-23,"{'registered': 47, 'actual': 9, 'age_breakdown': {'0-5': 2, '6-12': 11, '13-17': 9, '18+': 9}}",4.0
EVT0119,Homework Help Session,East Ham,2025-04-18,"{'registered': 18, 'actual': 8, 'age_breakdown': {'0-5': 4, '6-12': 5, '13-17': 9, '18+': 16}}",3.3
EVT0121,Computer Skills Workshop,Custom House,2025-06-02,"{'registered': 47, 'actual': 31, 'age_breakdown': {'0-5': 2, '6-12': 6, '13-17': 5, '18+': 12}}",4.2
EVT0122,Teen Gaming Night,North Woolwich,2025-02-18,"{'registered': 19, 'actual': 42, 'age_breakdown': {'0-5': 9, '6-12': 7, '13-17': 3, '18+': 10}}",4.5
EVT0123,Computer Skills Workshop,Custom House,2025-06-02,"{'registered': 42, 'actual': 34, 'age_breakdown': {'0-5': 7, '6-12': 14, '13-17': 9, '18+': 5}}",4.6
EVT0124,Children's Story Hour,Manor Park,2024-12-18,"{'registered': 17, 'actual': 20, 'age_breakdown': {'0-5': 4, '6-12': 5, '13-17': 0, '18+': 16}}",4.6
EVT0125,Teen Gaming Night,Beckton,2025-03-04,"{'registered': 25, 'actual': 11, 'age_breakdown': {'0-5': 5, '6-12': 6, '13-17': 9, '18+': 16}}",5.0
EVT0126,Teen Gaming Night,Stratford,2025-04-22,"{'registered': 19, 'actual': 13, 'age_breakdown': {'0-5': 6, '6-12': 0, '13-17': 0, '18+': 0}}",3.6
EVT0127,Children's Story Hour,North Woolwich,2025-03-02,"{'registered': 39, 'actual': 30, 'age_breakdown': {'0-5': 2, '6-12': 2, '13-17': 4, '18+': 20}}",4.7
EVT0128,Author Talk,North Woolwich,2025-04-20,"{'registered': 46, 'actual': 9, 'age_breakdown': {'0-5': 3, '6-12': 9, '13-17': 1, '18+': 0}}",4.6
EVT0129,Computer Skills Workshop,Manor Park,2025-04-29,"{'registered': 19, 'actual': 45, 'age_breakdown': {'0-5': 8, '6-12': 15, '13-17': 2, '18+': 1}}",4.1
EVT0130,Homework Help Session,Manor Park,2024-10-21,"{'registered': 34, 'actual': 24, 'age_breakdown': {'0-5': 2, '6-12': 4, '13-17': 4, '18+': 0}}",4.9
EVT0132,Computer Skills Workshop,Plaistow,2025-03-14,"{'registered': 37, 'actual': 43, 'age_breakdown': {'0-5': 1, '6-12': 8, '13-17': 8, '18+': 19}}",4.8
EVT0133,Teen Gaming Night,Beckton,2025-01-08,"{'registered': 44, 'actual': 7, 'age_breakdown': {'0-5': 10, '6-12': 11, '13-17': 6, '18+': 17}}",3.0
EVT0134,Computer Skills Workshop,North Woolwich,2024-10-22,"{'registered': 33, 'actual': 20, 'age_breakdown': {'0-5': 10, '6-12': 0, '13-17': 7, '18+': 19}}",3.2
EVT0135,Teen Gaming Night,Plaistow,2024-12-20,"{'registered': 46, 'actual': 26, 'age_breakdown': {'0-5': 7, '6-12': 4, '13-17': 10, '18+': 20}}",3.6
EVT0136,Children's Story Hour,Manor Park,2024-12-04,"{'registered': 25, 'actual': 24, 'age_breakdown': {'0-5': 7, '6-12': 8, '13-17': 1, '18+': 5}}",4.9
EVT0138,Computer Skills Workshop,Plaistow,2024-10-17,"{'registered': 22, 'actual': 15, 'age_breakdown': {'0-5': 1, '6-12': 15, '13-17': 5, '18+': 1}}",3.2
EVT0139,Teen Gaming Night,Beckton,2024-12-25,"{'registered': 21, 'actual': 7, 'age_breakdown': {'0-5': 2, '6-12': 10, '13-17': 9, '18+': 18}}",3.1
EVT0140,Book Club Meeting,Custom House,2025-03-11,"{'registered': 40, 'actual': 17, 'age_breakdown': {'0-5': 3, '6-12': 14, '13-17': 0, '18+': 6}}",3.4
EVT0142,Author Talk,Plaistow,2025-01-23,"{'registered': 37, 'actual': 6, 'age_breakdown': {'0-5': 7, '6-12': 13, '13-17': 2, '18+': 7}}",3.1
EVT0143,Children's Story Hour,North Woolwich,2025-08-28,"{'registered': 40, 'actual': 31, 'age_breakdown': {'0-5': 5, '6-12': 2, '13-17': 9, '18+': 2}}",4.3
EVT0144,Homework Help Session,Custom House,2025-05-27,"{'registered': 32, 'actual': 10, 'age_breakdown': {'0-5': 7, '6-12': 7, '13-17': 10, '18+': 5}}",4.2
EVT0145,Children's Story Hour,Manor Park,2025-05-06,"{'registered': 32, 'actual': 29, 'age_breakdown': {'0-5': 3, '6-12': 8, '13-17': 0, '18+': 19}}",4.1
EVT0146,Author Talk,Custom House,2025-01-06,"{'registered': 10, 'actual': 27, 'age_breakdown': {'0-5': 5, '6-12': 2, '13-17': 1, '18+': 10}}",3.9
EVT0147,Author Talk,North Woolwich,2025-01-02,"{'registered': 49, 'actual': 30, 'age_breakdown': {'0-5': 10, '6-12': 11, '13-17': 3, '18+': 19}}",4.8
EVT0148,Children's Story Hour,North Woolwich,2025-08-02,"{'registered': 41, 'actual': 35, 'age_breakdown': {'0-5': 0, '6-12': 1, '13-17': 4, '18+': 0}}",4.8
EVT0149,Children's Story Hour,North Woolwich,2025-01-17,"{'registered': 29, 'actual': 25, 'age_breakdown': {'0-5': 4, '6-12': 3, '13-17': 8, '18+': 8}}",5.0
EVT0150,Book Club Meeting,Custom House,2025-06-19,"{'registered': 44, 'actual': 14, 'age_breakdown': {'0-5': 2, '6-12': 2, '13-17': 8, '18+': 0}}",4.2
EVT0151,Computer Skills Workshop,Beckton,2024-12-31,"{'registered': 20, 'actual': 7, 'age_breakdown': {'0-5': 3, '6-12': 11, '13-17': 8, '18+': 17}}",4.9
EVT0152,Homework Help Session,North Woolwich,2025-04-03,"{'registered': 11, 'actual': 33, 'age_breakdown': {'0-5': 8, '6-12': 0, '13-17': 2, '18+': 12}}",4.2
EVT0153,Author Talk,Stratford,2025-03-26,"{'registered': 34, 'actual': 23, 'age_breakdown': {'0-5': 6, '6-12': 6, '13-17': 3, '18+': 7}}",3.8
EVT0154,Book Club Meeting,Stratford,2024-12-16,"{'registered': 22, 'actual': 43, 'age_breakdown': {'0-5': 7, '6-12': 9, '13-17': 4, '18+': 0}}",4.0
EVT0155,Children's Story Hour,Beckton,2025-08-11,"{'registered': 37, 'actual': 36, 'age_breakdown': {'0-5': 0, '6-12': 15, '13-17': 0, '18+': 19}}",5.0
EVT0157,Homework Help Session,Beckton,2024-12-16,"{'registered': 19, 'actual': 29, 'age_breakdown': {'0-5': 6, '6-12': 3, '13-17': 1, '18+': 10}}",4.1
EVT0158,Teen Gaming Night,Stratford,2024-12-04,"{'registered': 31, 'actual': 15, 'age_breakdown': {'0-5': 6, '6-12': 7, '13-17': 2, '18+': 3}}",4.3
EVT0159,Children's Story Hour,Manor Park,2025-03-11,"{'registered': 39, 'actual': 15, 'age_breakdown': {'0-5': 2, '6-12': 0, '13-17': 5, '18+': 7}}",3.9
EVT0160,Children's Story Hour,Plaistow,2025-07-04,"{'registered': 40, 'actual': 22, 'age_breakdown': {'0-5': 5, '6-12': 8, '13-17': 4, '18+': 15}}",4.9
EVT0161,Children's Story Hour,Beckton,2025-04-15,"{'registered': 44, 'actual': 13, 'age_breakdown': {'0-5': 10, '6-12': 6, '13-17': 1, '18+': 14}}",3.6
EVT0162,Homework Help Session,Stratford,2025-01-22,"{'registered': 49, 'actual': 41, 'age_breakdown': {'0-5': 5, '6-12': 7, '13-17': 9, '18+': 8}}",4.6
EVT0163,Computer Skills Workshop,Plaistow,2025-05-09,"{'registered': 18, 'actual': 31, 'age_breakdown': {'0-5': 2, '6-12': 7, '13-17': 5, '18+': 18}}",3.0
EVT0164,Book Club Meeting,Stratford,2025-01-16,"{'registered': 18, 'actual': 29, 'age_breakdown': {'0-5': 1, '6-12': 9, '13-17': 0, '18+': 4}}",4.6
EVT0165,Computer Skills Workshop,Stratford,2025-04-13,"{'registered': 23, 'actual': 29, 'age_breakdown': {'0-5': 8, '6-12': 12, '13-17': 0, '18+': 10}}",3.1
EVT0167,Homework Help Session,Custom House,2025-08-29,"{'registered': 15, 'actual': 45, 'age_breakdown': {'0-5': 6, '6-12': 8, '13-17': 0, '18+': 19}}",3.2
EVT0168,Book Club Meeting,Custom House,2025-05-24,"{'registered': 12, 'actual': 42, 'age_breakdown': {'0-5': 1, '6-12': 5, '13-17': 0, '18+': 7}}",3.3
